token,web_url,title,posted_time_text,location,mileage_text_raw,mileage_km,year_text,color,brand_model_text,gearbox,fuel_type,base_price_text_raw,base_price_toman,engine_condition,chassis_front_condition,chassis_rear_condition,body_condition,gearbox_condition,description,scraped_at
gahOF2RP,https://divar.ir/v/gahOF2RP,ساینا s مدل ۱۴۰۲,۲ ساعت پیش در تهران، نارمک، بلوار سردار نیلفروشان,tehran، narmak,۵۴۰۰۰,54000,۱۴۰۲ - ۲۰۲۳,سفید,ساینا دنده‌ای S,دنده‌ای,بنزین,"‏۶۰۰,۰۰۰,۰۰۰ تومان",600000000,سالم,سالم و پلمپ,سالم و پلمپ,سالم و بی‌خط و خش,سالم و پلمپ,"ساینا s مدل ۱۴۰۲ | ۵۴ هزار کارکرد

ساینا  ۱۴۰۲ با کارکرد ۵۴ هزار کیلومتر؛ آماده تحویل با شرایط اقساطی

 قیمت: ۱میلیارد ۲۲۰ تومن
 پیش‌پرداخت: ۵۰٪

✨ خودرویی مناسب برای استفاده روزمره و خانوادگی
 کارشناسی فنی و بدنه
 سند و پلاک از ابتدا به نام خریدار
⚡ تحویل فوری
 اقساط ۶ تا ۳۶ ماهه
✔️ فقط با چک صیادی
✔️ امکان ارائه چک شخص دیگر

 فروش اقساطی انواع خودروهای ایرانی و خارجی، صفر و کارکرده

اعتمادخودرو آریا
 کارشناس فروش: ((سلطانی))",2026-09-09T20:58:36.300144
gaB21RlQ,https://divar.ir/v/gaB21RlQ,ساینا s / مدل ۱۴۰۵ / فروش اقساطی,۳ هفته پیش در تهران، مدائن، خ بیست و سوم,tehran، sarsabz,۰,0,۱۴۰۵ - ۲۰۲۶,سفید,ساینا دنده‌ای S,دنده‌ای,بنزین,"‏۸۱۰,۰۰۰,۰۰۰ تومان",810000000,سالم,سالم و پلمپ,سالم و پلمپ,سالم و بی‌خط و خش,سالم و پلمپ,"سلام واحترام 
⚜نمایشگاه ثمین الماس⚜
✅فروش نقد و اقساط با شرایط ویژه نمایشگاه
✅وام مستقیم بدون نیاز به بانک
✅اقساط ۲۴ ماهه با پیش‌پرداخت ۶۰٪
✅مناسب برای خرید سریع و تحویل فوری
☎️تماس برای دریافت قیمت روز
مشاورخریدشما: خانم باقرزاده",2026-09-09T20:58:42.737288
gahqWQsC,https://divar.ir/v/gahqWQsC,ساینا سفید EX مدل ۹۸ دوگانه CNG,۳ ساعت پیش در تهران، اکباتان، بلوار حنانی,tehran، ekbatan,۱۴۰۰۰۰,140000,۱۳۹۸ - ۲۰۱۹,سفید,ساینا دنده‌ای EX,دنده‌ای,دوگانه‌سوز شرکتی,"‏۸۳۵,۰۰۰,۰۰۰ تومان",835000000,سالم,سالم و پلمپ,سالم و پلمپ,سالم و بی‌خط و خش,سالم و پلمپ,"خط و خش ندارد
دو لکه رنگ شدگی دارد
بیمه 1 سالم کامل 
معاینه فنی و معاینه گاز گرفتم براشون
لاستیک 80 در صد
دوگانه CNG 
شیشه ها برقی میباشد 
روکش صندلی و ظبط و باند دارد
فقط مصرف کننده 
بازدید اسلامشهر میباشد",2026-09-09T20:59:26.536243
gaZahhYC,https://divar.ir/v/gaZahhYC,ساینا سفیدمدل1399,۶ روز پیش در تهران، صاحب الزمان، خ آرامیده,tehran، shaharak-e-moslemin,۹۵۰۰۰,95000,۱۳۹۹ - ۲۰۲۰,سفید,ساینا دنده‌ای EX,دنده‌ای,بنزین,"‏۸۷۸,۰۰۰,۰۰۰ تومان",878000000,سالم,سالم و پلمپ,سالم و پلمپ,سالم و بی‌خط و خش,سالم و پلمپ,"سلام ماشین بدون رنگ می باشد شاسی هاپلمپ
بدون کوچکترین ترک جوش ضربه فقطیه کف دست طوق گلگیرعقب لیسه آبرنگ دارد فنی
فوق العاده سالم بازدید اسلامشهر می باشد",2026-09-09T20:59:37.559961
gahCmfn3,https://divar.ir/v/gahCmfn3,ساینا 99,۳ ساعت پیش در تهران، وصفنارد، خ نبی الله کریمی,tehran، vasfenard,۷۵۰۰۰,75000,۱۳۹۹ - ۲۰۲۰,سفید,ساینا دنده‌ای EX,دنده‌ای,بنزین,"‏۹۸۰,۰۰۰,۰۰۰ تومان",980000000,سالم,سالم و پلمپ,سالم و پلمپ,سالم و بی‌خط و خش,سالم و پلمپ,با سلام ساینا مدل 99.مصرفی ها تازه عوض شده تسمه تایم نو . لاستیک بارز نو . صفحه کلاج نو  بی رنگ,2026-09-09T21:01:10.622241
gafqpazn,https://divar.ir/v/gafqpazn,ساینا S دوگانه، مشابه صفر,دیروز در تهران، عباس‌آباد، خ میرعماد,tehran، abbas-abad,۴۰۰۰۰,40000,۱۴۰۲ - ۲۰۲۳,سفید,ساینا دنده‌ای S,دنده‌ای,دوگانه‌سوز شرکتی,"‏۱,۲۸۵,۰۰۰,۰۰۰ تومان",1285000000,سالم,سالم و پلمپ,سالم و پلمپ,سالم و بی‌خط و خش,سالم و پلمپ,"⚡️ساینا S دوگانه 
⚡️کلا 40.000 تا رفته ماشین کارمندی بوده و بیشتر خواب بوده 
⚡️بیمه ۱۲ ماه 
⚡️مدل 1402 
⚡️لاستیک 80 درصد
⚡️یه لکه رنگ گلگیر - پشت چراغ قرمز یه ضربه ریز از پشت داشتم 
⚡️تمام سرویس ها به موقع انجام شده
⚡️شیشه دودی",2026-09-09T21:01:22.999202
gaheVsdN,https://divar.ir/v/gaheVsdN,ساینا s,۴ ساعت پیش در تهران، شهرک امام خمینی، خ محلاتی,tehran، shahrak-e-emamkhomeyni,۱۲۳۰۰۰,123000,۱۴۰۰ - ۲۰۲۱,سفید,ساینا دنده‌ای S,دنده‌ای,بنزین,"‏۹۹۰,۰۰۰,۰۰۰ تومان",990000000,سالم,سالم و پلمپ,سالم و پلمپ,خط و خش جزیی,سالم و پلمپ,"فنی سالم 
کولر سالم
تمام مصرفی ها به موقع تعویض شده
بیمه تازه چند روز پیش شده 11ماه دیگه داره
تو عکس مشخصه دوسه جا خوردگی کوچیک تو پارک داشته
فقط صندوق عقب تعویض نمایندگی همون سال اول بخاطر طوفان و افتادن سنگ از بالای ساختمان رو صندوق داشته نه بخاطر تصادف 
با خریدار واقعی راه میام (تخفیف جزئی)",2026-09-09T21:02:19.180327
gaha1-VN,https://divar.ir/v/gaha1-VN,ساینا مدل97,۴ ساعت پیش در تهران، کیانشهر، خ سوم,tehran، shahrak-e-kianshahr,۱۳۰۰۰۰,130000,۱۳۹۷ - ۲۰۱۸,سفید,ساینا GX,دنده‌ای,بنزین,"‏۸۵۶,۰۰۰,۰۰۰ تومان",856000000,سالم,سالم و پلمپ,سالم و پلمپ,سالم و بی‌خط و خش,سالم و پلمپ,"شاستی ها پلمپ 
بدنه بی رنگ
 فنی موتوری کاملا سالم و پلمپ کولر بخاری سالم 
10ماه بیمه ، 6ماه معاینه فنی 
 دارای برگه کارشناسی 
چهار تا لاستیک نو
رینگ آلومینیومی 
روکش صندلی نو کفی یه تیکه شیشه دودی",2026-09-09T21:02:27.988744
gahS1H_i,https://divar.ir/v/gahS1H_i,ساینا مدل ۹۹ بی رنگ,۴ ساعت پیش در تهران، صاحب الزمان، خ چهل و پنج متری بهار,tehran، shaharak-e-moslemin,۱۱۳۰۰۰,113000,۱۳۹۹ - ۲۰۲۰,سفید,ساینا دنده‌ای S,دنده‌ای,بنزین,"‏۹۶۰,۰۰۰,۰۰۰ تومان",960000000,سالم,سالم و پلمپ,سالم و پلمپ,سالم و بی‌خط و خش,سالم و پلمپ,"بدون توضیح 
یک فشار جزئی بکسل بند",2026-09-09T21:02:35.976448
gaKWw8Sk,https://divar.ir/v/gaKWw8Sk,ساینا S سفید صفر کیلومتر ۱۴۰۵ /آماده تحویل,۲ هفته پیش در تهران، صادقیه، خ صادقی پور,tehran، sadeghiyeh,۰,0,۱۴۰۵ - ۲۰۲۶,سفید,ساینا دنده‌ای S,دنده‌ای,بنزین,"‏۱,۰۴۰,۰۰۰,۰۰۰ تومان",1040000000,سالم,سالم و پلمپ,سالم و پلمپ,سالم و بی‌خط و خش,سالم و پلمپ,"فروش ویژه خودرو | مجموعه اریس صنعت خودرو

دنبال خرید خودرو با معامله‌ای مطمئن و شفاف هستید؟ 

فروش انواع خودرو:
✅ سایپا
✅ ایران‌خودرو
✅ بهمن موتور
✅ کرمان موتور
✅ سایر برندها

⚡ تحویل سریع خودرو
 ابتدا خودرو را ببینید و کارشناسی کنید، سپس تسویه انجام دهید.

 طلا، سکه، دلار و تتر شما با قیمت روز در معامله محاسبه می‌شود.

 برای اطلاع از قیمت و موجودی لحظه‌ای و دریافت شرایط معامله، با کارشناس فروش خانم اسدزاده تماس بگیرید.

 مجموعه اریس صنعت",2026-09-09T21:03:30.771931
gaaM4l_0,https://divar.ir/v/gaaM4l_0,ساینا تکسوز و دوگانه/نقدواقساط تحویل روز,۳ ماه پیش در تهران، جمال‌زاده، خ جمالزاده جنوبی,tehran، jamalzadeh,۰,0,۱۴۰۵ - ۲۰۲۶,سفید,ساینا GX,دنده‌ای,بنزین,"‏۶۰۰,۰۰۰,۰۰۰ تومان",600000000,سالم,سالم و پلمپ,سالم و پلمپ,سالم و بی‌خط و خش,سالم و پلمپ,"◻️آکام خودرو◻️
کارگزار رسمی بانک
▫️کد 589389▫️

☑️فروش خودرو به صورت نقد و اقساط با سود بانک مرکزی

☑️پیش پرداخت همزمان با تحویل خودرو 

☑️امکان بازدید و کارشناسی خودرو قبل از واریز پیش پرداخت

☑️سند خودرو شش دانگ به نام متقاضی و در رهن بانک

☑️بازپرداخت از 12ماه تا 60ماه با امکان تسویه زودتر از موعد با کسر سود

☑️اقساط هر سه ماه با چک صیادی در وجه بانک

☑️برای مشاوره و راهنمایی دقیق تر با کارشناسان مجموعه در ارتباط باشید",2026-09-09T21:05:17.424503
gahClB4R,https://divar.ir/v/gahClB4R,فروش اقساطی ساینا/اطلس/کوییک/سهند صفر,۵ ساعت پیش در تهران، اباذر,tehran، aboozar,۰,0,۱۴۰۵ - ۲۰۲۶,سفید,ساینا دنده‌ای S,,بنزین,"‏۱۰,۰۰۰ تومان",10000,تعیین‌نشده,تعیین‌نشده,تعیین‌نشده,سالم و بی‌خط و خش,,"######## (( اتوگالری ماکان )) ###########

❌❌❌❌کارشناس فروش : اقای محمدی❌❌❌❌

✅فروش اقساطی کلیه محصولات ایران خودرو //سایپا// مدیران خودرو //لاماری //دیگنیتی و تمامی خودروهای وارداتی با تنوع رنگبندی

    
✅ تحویل یکساعته همزمان با پیش پرداخت
✅ پیش پرداخت 50% مبلغ خودرو
✅ اقساط از 2 تا 30 ماه 
✅ سند بنام خریدار
✅ بدون ضامن فقط با چک در صورت نداشتن چک می‌توانند از چک شخص دیگری استفاده کنید
✅ امکان تسویه زودتر از موعد با کسر سود 

✅✅ کارشناس فروش : اقای محمدی
☎️☎️☎️***********

ادرس نمایشگاه : اشرفی اصفهانی جنوب نرسیده به فلکه صادقیه نبش خیابان شالی روبروی درمانگاه شهرداری اتوگالری ماکان

 ** با بیست سال سابقه درخشان در فروش اقساطی خودرو **
 *** لوکیشن نمایشگاه زیر اگهی دیوار***",2026-09-09T21:06:24.748442
gahqUrcm,https://divar.ir/v/gahqUrcm,ساینا s مدل 1403,۵ ساعت پیش در تهران، مشیریه، خ حسینی مزینانی,tehran، moshiriyeh,۵۵۰۰۰,55000,۱۴۰۳ - ۲۰۲۴,سفید,ساینا دنده‌ای S,دنده‌ای,بنزین,"‏۱,۲۰۰,۰۰۰,۰۰۰ تومان",1200000000,سالم,سالم و پلمپ,سالم و پلمپ,سالم و بی‌خط و خش,سالم و پلمپ,"ساینا s
مدل 1403
بدون رنگ
۵۵۰۰۰ کارکرد
فروشنده واقعی
عکس تزئینی",2026-09-09T21:07:29.257421
gahm0Nhc,https://divar.ir/v/gahm0Nhc,ساینا s دوگانه کارخانه بی رنگ,۵ ساعت پیش در تهران، تهرانپارس شرقی، بلوار زفرقندی,tehran، east-tehranpars,۹۵۰۰۰,95000,۱۴۰۲ - ۲۰۲۳,سفید,ساینا GXL دوگانه سوز,دنده‌ای,دوگانه‌سوز شرکتی,"‏۱,۲۶۳,۰۰۰,۰۰۰ تومان",1263000000,سالم,سالم و پلمپ,سالم و پلمپ,سالم و بی‌خط و خش,سالم و پلمپ,"خودروی فوق کاملا سالم فنی فوق العاده سالم/
لاستیک ها 100% درصد /
دزدگیر کف پایی سه بعدی / 
شیشه ها دودی دیلایت /
سرویس‌ها انجام و مصرفی ها تعویض/
باتشکر از عوامل محترم دیوار",2026-09-09T21:07:40.702889
gaMKS-vQ,https://divar.ir/v/gaMKS-vQ,ساینا اس و جی ایکس تکسوز و دوگانه / 405تحویل سریع,۲ هفته پیش در تهران، صادقیه، خ سازمان آب,tehran، sadeghiyeh,۰,0,۱۴۰۵ - ۲۰۲۶,سفید,ساینا دنده‌ای پلاس,دنده‌ای,بنزین,"‏۱,۲۴۰,۰۰۰,۰۰۰ تومان",1240000000,سالم,سالم و پلمپ,سالم و پلمپ,سالم و بی‌خط و خش,سالم و پلمپ,"⭕️ ساینا اس و جی ایکس تکسوز و دوگانه  صفر کیلومتر مدل ۱۴۰۵ 
با تحویل فوری موجود در رنگ بندی

مجموعه کارامین این ماشین رو با شرایط  ویژه برای شما موجود میکنه:

✅ فروش انواع محصولات ایرانی ، مونتاژی و خارجی
✅ تحویل خودرو سریع
✅ ۲۴ ساعت مهلت کارشناسی از لحظه تحویل
✅ تسویه بعد از رویت و کارشناسی خودرو
✅  تمامی خودروهای موجود در رنگ‌بندی کامل
✅ تخفیف ویژه پای قرارداد
✅ امکان معاوضه با خودروی صفر و کارکرده

۱۲ ماه بیمه شخص ثالث معتبر و ۷۰٪ تخفیف بیمه بدنه
گارانتی معتبر شرکتی

⭕️برای اینکه خرید خوبی و تجربه کنید کنار شما هستیم .

• اتوگالری کارامین . خانم آریا
☎️برای راهنمایی بیشتر همین الان تماس بگیرید با حوصله راهنماییتون می‌کنیم☎️",2026-09-09T21:07:49.678553
gaFS1wCK,https://divar.ir/v/gaFS1wCK,ساینا S اس تک و دوگانه سوز و Gx,۳ هفته پیش در تهران، ستارخان,tehran، sattarkhan,۰,0,۱۴۰۵ - ۲۰۲۶,سفید,ساینا GXL دوگانه سوز,,بنزین,"‏۱,۳۰۰,۰۰۰,۰۰۰ تومان",1300000000,تعیین‌نشده,تعیین‌نشده,تعیین‌نشده,سالم و بی‌خط و خش,,",>>>>نمایندگی سام خودرو ایده ال<<<<
✴️عضو رسمی اتحادیه خودرو با کد ثبتی اختصاصی ۶۰۷۹۱۷✴️

قیمت‌ها واقعی میباشد و فیک و الکی اعلام نمیشه

    ❌️تعویض ماشین کارکرده با صفر ❌️
       فروش فقط بصورت نقدی میباشد
یک ساعته خودرو کارکرده شما را با صفر درب نمایندگی تعویض میکنیم 

با کارشناسی و قیمت گذاری رایگان توسط کارشناسان داخل نمایندگی

کلیه خودروهای صفر موجود میباشد
(۲۰۷/دنا/تارا/شاهین/سورن/رانا/ریرا/کی ام سی/هایمااطلس/کوییک/ساینا/سهند)

❌️❌️باسابقه ترین نمایندگی فروش در غرب  تهران❌️❌️


✅️ تحویل خودرو از درب نمایندگی
✅️پلاک شده قابل تردد
✅️سند آزاد
✅️کلیه رنگها موجود
✅️هزینه وکالت به عهده نمایندگی می باشد
✅️امکان کارشناسی خودرو تا ۲۴ ساعت
✅️امکان نصب کلیه آپشنهای شرکتی با بهترین کیفیت و نازلترین قیمت داخل نمایندگی
 
❌️به علت حجم بالای تماس‌ها در صورت اشغال بودن حضوری تشریف بیاورید❌️


کارشناس فروش **خانم قربانی**
 
آدرس نمایندگی 
ستارخان.نرسیده به بازار سنتی.روبروی آتش نشانی.ساختمان اداری جوانه.همکف",2026-09-09T21:09:07.210984
gah2D4Zs,https://divar.ir/v/gah2D4Zs,ساینا s85گانه صفر,۶ ساعت پیش در تهران، درب دوم,tehran، darb-dowom,۳۰۰۰,3000,۱۴۰۴ - ۲۰۲۵,سفید,ساینا دنده‌ای S,دنده‌ای,بنزین,"‏۱,۴۰۰,۰۰۰,۰۰۰ تومان",1400000000,سالم,سالم و پلمپ,سالم و پلمپ,سالم و بی‌خط و خش,سالم و پلمپ,سلام مدل ۲۹اسفند۱۴۰۴,2026-09-09T21:10:11.302974
gawlj4m_,https://divar.ir/v/gawlj4m_,ساینا s دوگانه تحویل انی 1405 سفید مشکی,ماه پیش در تهران، صادقیه، خ بیست و یکم شرقی,tehran، sadeghiyeh,۰,0,۱۴۰۵ - ۲۰۲۶,سفید,ساینا دنده‌ای S,دنده‌ای,بنزین,"‏۱,۱۵۰,۰۰۰,۰۰۰ تومان",1150000000,سالم,سالم و پلمپ,سالم و پلمپ,سالم و بی‌خط و خش,سالم و پلمپ,"✅️هلدینگ میشا خودرو صنعت""✅️
عضو رسمی اتحادیه 
نماینده رسمی محصولات فروش
مدیران خودرو/کرمان موتور/سایپا/ایرانخودرو/بهمن موتور
فروش نقدی
با ۱۸ سال سابقه درخشان فروش  در غرب تهران 
تحویل درب منزل یا نمایندگی به درخواست مشتری
✅ ""امکان رویت و کارشناسی قبل از تسویه مبلغ خودرو""
✅تمامی خودروها دارای یکسال بیمه شخص ثالث
✅۷۰درصد تخفیف بیمه بدنه
✅تنوع رنگ ها در همه خودروها
✅هزینه تنظیم سند و وکالت به عهده نمایندگی میباشد 
✅تمامی خودروها به صورت سفارشی موجود میباشد 
✅تمامی خودروها تا ۲۴ ساعت مهلت کارشناسی دارند
امکان فروش تعداد برای تمامی شرکت ها و ارگان های دولتی  
هلدینگ میشا صنعت خودرو
کارشناس فروشسرکار خانم پریخانی",2026-09-09T21:10:21.517920
